"","routeid","linknummer","richting","snelheid","uur","weekdag"
"1",563025235,1376996,"f",24.0248447358527,5,1
"2",563448646,1361047,"f",19.784556340281,7,1
"3",563448646,2442713,"f",16.8536159831885,7,1
"4",563448646,1643210,"t",18.9734165061018,7,1
"5",563718647,443372,"f",23.3147029326677,6,1
"6",563855537,440426,"f",21.6944222966378,7,1
"7",563855537,440424,"f",14.8082456614054,7,1
"8",564880657,1930577,"t",15.4043586295714,8,1
"9",565570226,441651,"t",22.2706535755385,8,1
"10",565570226,441512,"t",21.3553856367281,8,1
"11",566525548,442365,"f",16.6268342421255,8,1
"12",567713440,230215,"t",15.9629589049484,7,1
"13",567713440,200663,"f",19.1565393647872,7,1
"14",568755574,443372,"t",26.0134808326101,11,1
"15",568862647,441372,"f",38.644034868034,11,1
"16",569298518,1379542,"f",17.0803842279885,8,1
"17",569749774,441651,"f",19.0838632922114,12,1
"18",570065955,1930577,"t",17.1524126986696,13,1
"19",570515665,441512,"f",20.5989518399989,13,1
"20",570515665,441651,"f",13.0091595333598,13,1
"21",571972809,1376996,"t",23.8834018798916,15,1
"22",572178365,441104,"t",19.3837712175527,7,1
"23",572178365,441651,"t",12.410389876316,7,1
"24",572178365,441512,"t",16.7293135563639,7,1
"25",572178365,442365,"f",19.9827882960349,7,1
"26",572178365,443585,"t",18.8203466569593,7,1
"27",572178365,443372,"t",18.1836694011916,7,1
"28",574127634,441651,"f",15.6191631981186,16,1
"29",575585563,199326,"f",21.1844461513211,17,1
"30",575585563,1643210,"f",23.0781984353779,17,1
"31",575585563,2442713,"t",19.5127762970833,17,1
"32",575585563,1361047,"t",21.404554925305,17,1
"33",576047075,441372,"t",22.0714978928817,8,1
"34",576242602,2442713,"t",18.7847324395498,16,1
"35",576242602,442261,"f",22.8898646830386,16,1
"36",576242602,442258,"t",22.591130898217,16,1
"37",576242602,441372,"f",21.615058744348,16,1
"38",576429775,202695,"f",15.1250451739233,17,1
"39",577027175,440424,"t",18.0649782690298,17,1
"40",577027175,440426,"t",18.8101936083315,17,1
"41",577126929,1359930,"t",21.1512841247476,17,1
"42",577859623,199326,"f",16.3395757970549,18,1
"43",577859623,1643210,"f",15.1211372030667,18,1
"44",577859623,2442713,"t",18.3608463225301,18,1
"45",581007256,200663,"t",20.4548183030787,17,1
"46",581007256,227606,"t",18.7795653640172,17,1
"47",582121011,441372,"t",23.3601887780129,17,1
"48",587461734,1643200,"f",17.5625223301325,5,2
"49",587461734,443846,"f",17.4363824698943,5,2
"50",589032769,440426,"f",15.6650012787504,7,2
"51",589032769,440424,"f",15.0399914537329,7,2
"52",590551580,1361047,"f",20.4140840918296,7,2
"53",590551580,2442713,"f",15.7935588882766,7,2
"54",590551580,1643210,"t",23.2316990445361,7,2
"55",591124131,1930577,"t",19.7556601859569,8,2
"56",593296187,441104,"t",18.4487281393711,7,2
"57",593296187,441651,"t",12.6067168969088,7,2
"58",593296187,441512,"t",20.7003307802598,7,2
"59",593296187,442365,"f",18.7090806649398,7,2
"60",593296187,443585,"t",18.233286978357,7,2
"61",593296187,443372,"t",17.5432568270381,7,2
"62",594758951,230215,"t",16.3439129391807,7,2
"63",594758951,200663,"f",16.2419118550098,7,2
"64",594924619,440559,"t",14.8623041302169,8,2
"65",596452055,442261,"t",17.3365515027583,10,2
"66",596452055,2442713,"f",12.8270132162729,10,2
"67",596452055,1643210,"t",15.128055483211,10,2
"68",596452055,199326,"t",11.2770346842238,10,2
"69",596452196,2442713,"t",11.2569333641325,12,2
"70",596718744,443372,"f",22.1207264023504,6,2
"71",596987807,443372,"t",22.6959311702774,12,2
"72",597419853,1359930,"t",21.8374424749677,12,2
"73",597526712,230218,"f",23.2880880009223,6,2
"74",597526712,1376996,"f",24.586050396251,6,2
"75",599665229,230370,"t",13.2491057772393,14,2
"76",599665229,1376996,"f",22.5888909560973,14,2
"77",600383419,1930577,"t",14.7479857794151,14,2
"78",600383419,441651,"t",17.6589690245933,14,2
"79",601275637,1376996,"t",16.8921501904751,14,2
"80",602770146,1403483,"t",11.9291698472913,8,1
"81",602770146,1361047,"f",13.0891986275204,8,1
"82",602770146,2442713,"f",18.2602315543657,8,1
"83",602770146,1643210,"t",18.4894988423343,8,1
"84",602770188,199326,"f",14.7843594753622,17,1
"85",602770188,1643210,"f",18.9467559642785,17,1
"86",602770188,2442713,"t",17.3691569420168,17,1
"87",602770188,1361047,"t",18.3113912874237,17,1
"88",602770222,1403483,"t",6.25571664826812,8,2
"89",602770222,1361047,"f",18.5291676299903,8,2
"90",602770222,2442713,"f",18.6362016867327,8,2
"91",602770222,1643210,"t",18.2337136474232,8,2
"92",603314384,1379542,"t",11.5850387616152,16,2
"93",604442196,2442713,"t",24.0191532648312,16,2
"94",605544740,1361047,"f",18.7940032416828,7,2
"95",605544740,2442713,"f",17.264168205255,7,2
"96",605544740,1643210,"t",19.5742591168392,7,2
"97",605544740,199326,"t",20.6855883856814,7,2
"98",605544802,1643210,"f",19.7395921094889,16,2
"99",605544802,2442713,"t",20.5503175415948,16,2
"100",605544802,1361047,"t",21.1937828134484,16,2
"101",605566967,1376997,"f",19.9756285992815,9,1
"102",605566967,1376999,"f",16.7719047133768,9,1
"103",605566994,1376997,"f",14.7107773751461,7,2
"104",605566994,1376999,"f",15.4996891386254,7,2
"105",606060165,1376996,"t",18.010574470823,16,2
"106",606060165,230218,"t",19.381193109042,16,2
"107",606060165,230215,"t",19.9176924038935,16,2
