"","routeid","linknummer","richting","snelheid","uur","weekdag"
"1",570342848,84655,"t",10.252720297834,12,1
"2",595675853,338816,"t",18.6735923925262,12,1
"3",595675853,85392,"t",16.2430720165786,12,1
"4",595675853,84655,"f",12.8929907252395,12,1
"5",609398925,85392,"t",10.4332865769705,17,2
"6",619830181,1763641,"t",21.6869420034954,15,1
"7",619830181,2335900,"t",22.1501363456315,15,1
"8",619830181,567015,"f",11.49753131799,15,1
"9",619830181,567002,"t",20.353176549644,15,1
"10",619830181,566210,"t",21.1432151650664,15,1
"11",619830181,566209,"t",20.1906641135116,15,1
"12",619958143,84655,"f",10.3296333754137,13,2
"13",649300362,2335900,"t",22.7265030479121,13,1
"14",658728110,82239,"t",21.6213482821925,11,4
"15",658728110,84655,"t",28.0593496130216,11,4
"16",659842495,566209,"f",19.6385214704802,11,4
"17",659842495,566210,"f",16.3718383273571,11,4
"18",659842495,567002,"f",14.0442524627268,11,4
"19",659842495,567015,"t",13.0481754478991,11,4
"20",661151488,92323,"t",14.8879551951491,12,4
"21",662191616,92323,"t",9.89075737609383,12,4
"22",665563763,92323,"f",12.2368680055854,15,4
"23",665852725,1763641,"t",16.3773083467493,16,4
"24",665852725,2335900,"t",14.3581781179999,16,4
"25",666923520,85392,"f",16.4067153270293,15,4
"26",666923520,338816,"f",19.2452014951454,15,4
"27",666923520,92323,"f",12.4130432002421,15,4
"28",691582797,317281,"f",20.6673000462093,15,4
"29",691582881,566209,"f",23.2118236335708,12,5
"30",691582881,566210,"f",20.3542103703938,12,5
"31",691582881,567002,"f",22.1222665951878,12,5
"32",693073569,2335900,"t",25.6590494921492,13,5
"33",693073569,567002,"t",23.0889865232931,13,5
"34",693073569,566210,"t",23.3626535119778,13,5
"35",694102364,317281,"t",21.194685405087,14,5
"36",694102364,82239,"f",22.773964777957,14,5
"37",701663500,566209,"f",15.2970864134109,15,5
"38",701663500,566210,"f",11.8353853494449,15,5
"39",701663500,567002,"f",14.3102979105734,15,5
"40",701663500,567015,"t",9.39774679497951,15,5
"41",701663500,82239,"t",20.3537030836424,15,5
"42",702961282,567015,"f",13.6613106174516,17,5
"43",702961282,567002,"t",17.1051618877412,17,5
"44",702961282,566210,"t",17.8472315991115,17,5
"45",702961282,566209,"t",15.7261323233358,17,5
"46",713618764,1763641,"t",23.219585176254,15,1
"47",713618764,2335900,"t",21.972936905925,15,1
"48",716599567,84655,"t",13.59757601621,12,1
"49",716599567,85392,"f",18.1388481914977,12,1
"50",716599567,338816,"f",16.7893999912186,12,1
"51",721686795,338816,"t",17.5895100873559,11,6
"52",721686795,85392,"t",15.033316966036,11,6
"53",723335395,567015,"f",17.2376770171562,12,6
"54",723589593,567015,"t",13.2120826919681,12,6
"55",725280500,338816,"t",11.4991425000159,12,6
"56",725280500,85392,"t",7.01409181151402,12,6
"57",729626682,92323,"t",2.50759639507225,13,6
"58",732341622,1763641,"t",17.8392034523928,16,6
"59",732341622,2335900,"t",22.3742565426455,16,6
"60",735651358,1763641,"f",25.4674767810064,17,6
"61",753528768,317281,"f",26.7525587896122,10,0
"62",753528768,85392,"f",21.9814174200021,10,0
"63",753528768,338816,"f",15.4658887368242,10,0
"64",756211260,82239,"t",15.8549824169108,10,0
"65",756429790,338816,"t",20.0886014917661,13,6
"66",756429790,85392,"t",21.9922200576138,13,6
"67",756429790,84655,"f",15.8005706237398,13,6
"68",759999392,2335900,"t",24.8981970762777,14,0
"69",772096043,317281,"t",15.9338390561667,14,0
