"","routeid","linknummer","richting","snelheid","uur","weekdag","month","year"
"1",47472,588617,"t",38.766002312141,9,2,NA,NA
"2",47472,588611,"t",38.7646192150152,9,2,NA,NA
"3",47472,588648,"t",33.2049422197277,9,2,NA,NA
"4",47472,588647,"t",29.4115085716852,9,2,NA,NA
"5",47472,588602,"t",33.0087052789531,9,2,NA,NA
"6",47472,588646,"t",35.0106079424266,9,2,NA,NA
"7",47472,588639,"t",35.0105865764702,9,2,NA,NA
"8",47472,588588,"t",31.2663603906439,9,2,NA,NA
"9",47472,588600,"t",29.184868237652,9,2,NA,NA
"10",47472,588599,"t",24.199524817316,9,2,NA,NA
"11",47472,588590,"f",24.0815300676462,9,2,NA,NA
"12",47472,588301,"f",24.1254019002272,9,2,NA,NA
"13",47472,588307,"t",26.1898440824846,9,2,NA,NA
"14",47472,327108,"f",20.0963865776001,9,2,NA,NA
"15",47472,71345,"f",20.0896108776857,9,2,NA,NA
"16",47472,588355,"f",20.3490676738419,9,2,NA,NA
"17",47472,588316,"f",20.7840791138653,9,2,NA,NA
"18",47472,588312,"t",20.7929429265154,9,2,NA,NA
"19",51309,588674,"t",14.2621486938322,10,2,NA,NA
"20",51309,98773,"t",12.7455158253599,10,2,NA,NA
"21",51309,98764,"t",10.5607249233429,10,2,NA,NA
"22",51309,98763,"t",14.9692804239332,10,2,NA,NA
"23",51309,98762,"t",16.7703516330599,10,2,NA,NA
"24",51309,98761,"t",9.16718062172177,10,2,NA,NA
"25",51309,98736,"f",4.92931371180858,10,2,NA,NA
"26",51309,98738,"f",14.1406517509915,10,2,NA,NA
"27",51309,98739,"f",23.0608471450192,10,2,NA,NA
"28",51309,98740,"f",11.4564797732578,10,2,NA,NA
"29",51309,98746,"f",15.7216818421438,10,2,NA,NA
"30",51309,98750,"f",14.7211426391331,10,2,NA,NA
"31",51309,98747,"f",16.7482771137791,10,2,NA,NA
"32",51309,98748,"f",16.6118658366314,10,2,NA,NA
"33",51309,98741,"f",14.9639666235689,10,2,NA,NA
"34",51309,98742,"f",16.5923741703415,10,2,NA,NA
"35",51309,98751,"f",10.4441325148752,10,2,NA,NA
"36",51309,98752,"f",12.7462618520412,10,2,NA,NA
"37",51309,98754,"f",16.3097488010157,10,2,NA,NA
"38",51309,98753,"f",17.1938686869631,10,2,NA,NA
"39",51309,346809,"f",12.8181432234442,10,2,NA,NA
"40",51309,359569,"f",13.7168150072521,10,2,NA,NA
"41",51309,359564,"t",15.7587617598577,10,2,NA,NA
"42",51309,98662,"t",16.6426993544997,10,2,NA,NA
"43",51309,340091,"f",17.108325757459,10,2,NA,NA
"44",51309,98654,"t",17.8275008230755,10,2,NA,NA
"45",51309,98651,"t",18.2635558640371,10,2,NA,NA
"46",51309,340429,"t",15.7834209008703,10,2,NA,NA
"47",51309,17487,"t",15.5245892389422,10,2,NA,NA
"48",51309,98649,"t",16.4535774563128,10,2,NA,NA
"49",51309,98648,"t",15.9908679386626,10,2,NA,NA
"50",51309,98647,"t",16.4577025696401,10,2,NA,NA
"51",51309,98646,"t",16.2421116858459,10,2,NA,NA
"52",51309,98642,"t",15.5060207488038,10,2,NA,NA
"53",51309,98641,"t",18.3403438855664,10,2,NA,NA
"54",51309,98640,"t",17.3482471762312,10,2,NA,NA
"55",51309,98639,"t",17.925923902044,10,2,NA,NA
"56",51309,326842,"t",15.4773427701154,10,2,NA,NA
"57",51309,97924,"t",15.6774131053624,10,2,NA,NA
"58",51309,326794,"t",15.904854669614,10,2,NA,NA
"59",51309,97046,"f",9.91583021002592,10,2,NA,NA
"60",51309,326793,"f",16.2959548542497,10,2,NA,NA
"61",51309,97040,"f",15.6743800759342,10,2,NA,NA
"62",51309,97041,"f",16.4683383351113,10,2,NA,NA
"63",51309,97042,"f",19.1433017483847,10,2,NA,NA
"64",51309,97035,"f",18.2624163843154,10,2,NA,NA
"65",51309,97037,"f",10.8906812846555,10,2,NA,NA
"66",51309,97043,"f",10.2877859689633,10,2,NA,NA
"67",51309,97032,"f",14.9384597571702,10,2,NA,NA
"68",51309,97033,"f",17.2404194376242,10,2,NA,NA
"69",51309,97034,"f",10.7954725396579,10,2,NA,NA
"70",51309,359381,"f",16.0569741113547,10,2,NA,NA
"71",51309,326759,"f",6.5549237425295,10,2,NA,NA
"72",51309,342428,"f",14.0329987059743,10,2,NA,NA
"73",51309,342517,"f",16.2322405171957,10,2,NA,NA
"74",51309,97031,"f",16.6150306535764,10,2,NA,NA
"75",51309,359561,"f",16.683645084151,10,2,NA,NA
"76",51309,359560,"f",16.0863228630496,10,2,NA,NA
"77",51309,340448,"f",15.8897273713048,10,2,NA,NA
"78",51309,97322,"f",14.7947968654196,10,2,NA,NA
"79",51309,326792,"t",11.4279834965586,10,2,NA,NA
"80",52752,2319870,"t",26.3660818800344,11,2,NA,NA
"81",52752,2032169,"t",27.5826571933465,11,2,NA,NA
"82",52752,2032168,"t",27.6036917378714,11,2,NA,NA
"83",52752,2032167,"t",27.6171864903224,11,2,NA,NA
"84",52752,2032165,"t",27.6040525534216,11,2,NA,NA
"85",52752,2032285,"t",27.6272718154145,11,2,NA,NA
"86",52752,1656708,"f",27.6163683000162,11,2,NA,NA
"87",52752,1656709,"f",13.7384238982064,11,2,NA,NA
"88",52752,2305960,"f",8.60583147644438,11,2,NA,NA
"89",52752,588881,"f",15.9209433847223,11,2,NA,NA
"90",52752,588882,"f",35.6493145797173,11,2,NA,NA
"91",52752,588785,"f",35.6473856384479,11,2,NA,NA
"92",52752,1857333,"f",17.536639179925,11,2,NA,NA
"93",52752,588796,"f",18.1118726996689,11,2,NA,NA
"94",52752,98760,"f",29.4418053642611,11,2,NA,NA
"95",52752,98761,"f",29.637778340898,11,2,NA,NA
"96",52752,98762,"f",23.6212755252968,11,2,NA,NA
"97",52752,98763,"f",17.9380557043964,11,2,NA,NA
"98",57869,588594,"t",26.373017660277,13,2,NA,NA
"99",57869,588593,"t",25.576687679371,13,2,NA,NA
"100",57869,2344258,"t",25.6607229855884,13,2,NA,NA
"101",57869,2344260,"t",25.7568658975615,13,2,NA,NA
"102",57869,587796,"t",26.6524090560011,13,2,NA,NA
"103",57869,587795,"t",26.1416465590625,13,2,NA,NA
"104",57869,72125,"t",25.3689188283891,13,2,NA,NA
"105",57869,587794,"t",25.2016258747658,13,2,NA,NA
"106",57869,587793,"t",25.5452440469807,13,2,NA,NA
"107",57869,587792,"t",24.1680452969557,13,2,NA,NA
"108",57869,2344261,"f",24.2051068490796,13,2,NA,NA
"109",57869,2344198,"t",25.4130170023601,13,2,NA,NA
"110",57869,2344197,"t",25.0873567806253,13,2,NA,NA
"111",57869,583675,"f",24.8226900818559,13,2,NA,NA
"112",57869,583676,"f",24.6502982775887,13,2,NA,NA
"113",57869,583735,"t",24.5793417967301,13,2,NA,NA
"114",57869,583734,"t",24.5083996423277,13,2,NA,NA
"115",57869,583733,"t",24.3389613200473,13,2,NA,NA
"116",57869,583732,"t",24.3402051483553,13,2,NA,NA
"117",60376,2344198,"t",4.03633542578118,12,2,NA,NA
"118",60376,2344197,"t",12.4283725486826,12,2,NA,NA
"119",60376,583674,"t",0,12,2,NA,NA
"120",60376,583673,"t",0,12,2,NA,NA
"121",60376,583672,"t",0,12,2,NA,NA
"122",60376,583697,"t",0,12,2,NA,NA
"123",60376,583696,"t",0,12,2,NA,NA
"124",60376,583695,"t",0,12,2,NA,NA
"125",60376,583694,"t",4.20722891566265,12,2,NA,NA
"126",60376,583693,"t",0,12,2,NA,NA
"127",60376,583692,"t",0,12,2,NA,NA
"128",60376,583691,"t",0,12,2,NA,NA
"129",60376,75315,"t",0,12,2,NA,NA
"130",60376,75318,"t",0,12,2,NA,NA
"131",60376,75317,"t",3.76835841354152,12,2,NA,NA
"132",60376,75316,"t",3.91649210534265,12,2,NA,NA
"133",60376,75321,"t",3.92148958944744,12,2,NA,NA
"134",60376,75320,"t",3.91392911716356,12,2,NA,NA
"135",60376,75319,"t",3.91085937043904,12,2,NA,NA
"136",60376,2344137,"t",3.92132657690261,12,2,NA,NA
"137",60376,1628527,"t",3.91434478904927,12,2,NA,NA
"138",60376,583619,"f",3.88151576593029,12,2,NA,NA
"139",60376,583620,"f",7.25149788618314,12,2,NA,NA
"140",60376,587695,"f",5.49923919044362,12,2,NA,NA
"141",60376,587697,"f",10.3463533007851,12,2,NA,NA
"142",60376,587698,"f",13.1689542653729,12,2,NA,NA
"143",60376,583682,"t",16.9564373223213,12,2,NA,NA
"144",60376,583681,"t",14.7733326462046,12,2,NA,NA
"145",60376,583680,"t",14.7744329653232,12,2,NA,NA
"146",60376,587699,"f",15.4770930926432,12,2,NA,NA
"147",60376,587700,"f",15.8644202363014,12,2,NA,NA
"148",60376,587701,"f",10.9590551378686,12,2,NA,NA
"149",60376,2344217,"f",18.2746307455552,12,2,NA,NA
"150",60376,76204,"f",8.93019459505419,12,2,NA,NA
"151",60376,76205,"f",10.8779522884861,12,2,NA,NA
"152",60376,76208,"f",16.0950805940115,12,2,NA,NA
"153",60376,76209,"f",17.1444458623109,12,2,NA,NA
"154",60376,347467,"f",9.35500764094577,12,2,NA,NA
"155",60376,327437,"f",16.7673676898594,12,2,NA,NA
"156",60376,78671,"f",14.6122984519677,12,2,NA,NA
"157",60376,347576,"f",15.2474485485162,12,2,NA,NA
"158",60376,79481,"t",10.4616136665807,12,2,NA,NA
"159",60376,79479,"f",2.9416664064934,12,2,NA,NA
"160",60376,79485,"t",6.48147045425083,12,2,NA,NA
"161",60376,79482,"t",13.2445339978252,12,2,NA,NA
"162",60376,79483,"f",10.9108803362339,12,2,NA,NA
"163",60376,79484,"t",10.9139885040487,12,2,NA,NA
"164",60376,327488,"t",16.5802788258063,12,2,NA,NA
"165",60376,78729,"t",16.5093644271708,12,2,NA,NA
"166",60376,78728,"t",16.9662799391526,12,2,NA,NA
"167",60376,78722,"t",16.9645300226173,12,2,NA,NA
"168",61300,587794,"f",19.266113948812,12,2,NA,NA
"169",61300,72125,"f",19.1711533331664,12,2,NA,NA
"170",61300,587795,"f",17.4597136623103,12,2,NA,NA
"171",61300,587694,"t",9.56623253290705,12,2,NA,NA
"172",61300,71348,"t",18.6823757984612,12,2,NA,NA
"173",61300,71367,"t",15.4097165744849,12,2,NA,NA
"174",61300,69979,"t",14.6214788453386,12,2,NA,NA
"175",61300,69975,"t",14.3052328092079,12,2,NA,NA
"176",61300,69974,"t",15.7512055932004,12,2,NA,NA
"177",61300,584456,"t",18.8229806034265,12,2,NA,NA
